ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781157032.7691534,1.5065772533416748,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,0,0.0,-1,-0.002391,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157032.8694668,1.6068906784057617,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157032.969522,1.7069458961486816,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7057,0,0,0.0,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157033.0696042,1.80702805519104,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,-1,-0.002391,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157033.1703227,1.9077465534210205,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157033.2707555,2.0081794261932373,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157033.3709555,2.108379364013672,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7075,0,-1,-0.00427,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157033.4710803,2.2085041999816895,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7067,0,-1,-0.00427,-1,-0.002391,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157033.5713964,2.3088202476501465,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157033.671448,2.40887188911438,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,0,0.0,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157033.7718282,2.5092520713806152,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,-1,-0.002391,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157033.8718817,2.6093056201934814,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7057,0,-1,-0.00427,-1,-0.002391,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157033.9722729,2.7096967697143555,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,0,0.0,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157034.072817,2.8102409839630127,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,0,0.0,-1,-0.002391,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157034.1733062,2.9107301235198975,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157034.2735286,3.0109524726867676,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7071,0,-1,-0.00427,-1,-0.002391,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157034.3737957,3.111219644546509,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,-1,-0.002391,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157034.4740696,3.211493492126465,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,0,0.0,-1,-0.002391,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157034.574279,3.3117029666900635,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,0,0.0,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157034.6744645,3.411888360977173,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157034.7745292,3.511953115463257,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7065,0,-1,-0.00427,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157034.87479,3.6122138500213623,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7071,0,-1,-0.00427,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157034.975543,3.7129669189453125,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7057,0,-1,-0.00427,0,0.0,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157035.0762584,3.8136823177337646,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,0,0.0,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157035.176811,3.9142348766326904,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,0,0.0,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157035.2771,4.014523983001709,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7071,0,-1,-0.00427,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157035.3771849,4.1146087646484375,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157035.4774601,4.214884042739868,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7065,0,-1,-0.00427,0,0.0,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157035.5778487,4.315272569656372,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7071,0,-1,-0.00427,0,0.0,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157035.6783986,4.415822505950928,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,0,0.0,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157035.7789037,4.516327619552612,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157035.8790445,4.61646842956543,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,0,0.0,0,0.0,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157035.9796796,4.717103481292725,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157036.079987,4.817410945892334,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,0,0.0,0,0.0,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157036.1803706,4.917794466018677,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7071,0,0,0.0,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157036.2807465,5.018170356750488,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7071,0,-1,-0.00427,0,0.0,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157036.3810225,5.118446350097656,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7071,0,-1,-0.00427,0,0.0,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157036.4813561,5.218780040740967,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,0,0.0,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157036.5815537,5.31897759437561,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7057,0,0,0.0,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157036.682047,5.41947078704834,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7061,0,-1,-0.00427,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157036.7823973,5.5198211669921875,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7065,0,-1,-0.00427,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157036.882766,5.620189905166626,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7071,0,-1,-0.00427,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157036.9833183,5.720742225646973,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_125030,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7075,0,-1,-0.00427,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
