ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781171972.1899498,1.3042612075805664,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2069313003,598,25,0.10675,27,0.064557,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171972.2901747,1.4044861793518066,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2067645029,599,43,0.18361,42,0.100422,308,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171972.3903341,1.504645586013794,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2065965731,599,90,0.3843,87,0.208017,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171972.4908006,1.605112075805664,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2064297249,615,77,0.32879,80,0.19128,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171972.5908434,1.7051548957824707,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2062597170,598,52,0.22204,52,0.124332,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171972.6911154,1.805426836013794,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2060912349,607,15,0.06405,23,0.054993,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171972.7913787,1.9056901931762695,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2059216672,599,23,0.09821,26,0.062166,308,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171972.8916414,2.005952835083008,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2057551588,601,14,0.05978,12,0.028692,308,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171972.9921737,2.10648512840271,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2055839028,600,11,0.04697,12,0.028692,308,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171973.0927286,2.2070400714874268,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2054159147,601,5,0.02135,4,0.009564,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
