ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781162793.3774602,1.4697890281677246,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,680268787,-1788,-21,-0.08967,-23,-0.054993,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162793.4780202,1.5703489780426025,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,675218713,-1788,-21,-0.08967,-26,-0.062166,301,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162793.578524,1.6708528995513916,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,670218883,-1788,-21,-0.08967,-23,-0.054993,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162793.6786976,1.771026372909546,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,665218627,-1788,-23,-0.09821,-26,-0.062166,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162793.779459,1.8717877864837646,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,660168839,-1788,-22,-0.09394,-24,-0.057384,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162793.8796687,1.9719974994659424,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,655168656,-1788,-24,-0.10248,-24,-0.057384,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162793.980077,2.0724058151245117,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,650118783,-1788,-21,-0.08967,-22,-0.052602,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162794.0802069,2.1725356578826904,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,645118726,-1788,-23,-0.09821,-24,-0.057384,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162794.1806748,2.273003578186035,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,640118836,-1788,-24,-0.10248,-22,-0.052602,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162794.2807775,2.3731062412261963,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,635118643,-1788,-24,-0.10248,-22,-0.052602,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
