ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781156637.7899723,0.0,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R02_20260611_124357,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-6637,0,0,0.0,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156637.8901477,0.10017538070678711,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R02_20260611_124357,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-6647,0,0,0.0,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156637.9906476,0.20067524909973145,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R02_20260611_124357,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-6647,0,0,0.0,0,0.0,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156638.0908124,0.3008401393890381,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R02_20260611_124357,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-6647,0,0,0.0,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156638.191022,0.4010496139526367,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R02_20260611_124357,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-6651,0,0,0.0,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156638.2915487,0.5015764236450195,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R02_20260611_124357,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-6647,0,0,0.0,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156638.3923266,0.6023542881011963,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R02_20260611_124357,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-6653,0,0,0.0,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156638.4926913,0.70271897315979,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R02_20260611_124357,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-6653,0,0,0.0,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156638.592884,0.8029117584228516,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R02_20260611_124357,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-6657,0,0,0.0,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156638.6930768,0.9031045436859131,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R02_20260611_124357,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-6657,0,0,0.0,0,0.0,300,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
