ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781157165.0962415,0.0,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_125244,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7101,0,0,0.0,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157165.1969461,0.10070466995239258,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_125244,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7087,0,-1,-0.00427,-1,-0.002391,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157165.297208,0.20096659660339355,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_125244,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7087,0,-1,-0.00427,-1,-0.002391,298,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157165.3975286,0.3012871742248535,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_125244,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7081,0,0,0.0,0,0.0,298,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157165.4977193,0.4014778137207031,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_125244,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7085,0,0,0.0,0,0.0,299,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157165.5980856,0.5018441677093506,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_125244,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7085,0,-1,-0.00427,0,0.0,298,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157165.6986024,0.6023609638214111,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_125244,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7087,0,0,0.0,-1,-0.002391,298,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157165.798945,0.7027034759521484,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_125244,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7087,0,-1,-0.00427,-1,-0.002391,298,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157165.899239,0.8029975891113281,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_125244,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7091,0,0,0.0,-1,-0.002391,298,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157165.9993918,0.9031503200531006,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_125244,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7081,0,-1,-0.00427,0,0.0,298,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157166.0998373,1.0035958290100098,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_125244,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7081,0,-1,-0.00427,-1,-0.002391,298,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157166.2003765,1.1041350364685059,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_125244,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7097,0,0,0.0,-1,-0.002391,298,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157166.300913,1.2046716213226318,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_125244,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7081,0,0,0.0,0,0.0,298,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157166.4011745,1.3049330711364746,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_125244,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7085,0,-1,-0.00427,0,0.0,298,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781157166.501249,1.4050076007843018,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_125244,delta-asda-b3-e,1616,VE|SOD|TR,1,0,-7095,0,0,0.0,0,0.0,298,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
