ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781173661.9595559,1.404080867767334,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173662.0597742,1.5042991638183594,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173662.1602333,1.6047582626342773,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173662.2607334,1.7052583694458008,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,2,0.004782,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173662.360784,1.8053090572357178,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173662.4608436,1.9053685665130615,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,2,0.00854,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173662.5611787,2.0057036876678467,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173662.661518,2.1060431003570557,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173662.761889,2.206413984298706,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173662.862386,2.306910991668701,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,2,0.00854,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
