ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781156163.5002513,0.0,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_123602,delta-asda-b3-e,1616,VE|SOD|TR,1,0,7520,0,0,0.0,0,0.0,301,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156163.6008728,0.10062146186828613,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_123602,delta-asda-b3-e,1616,VE|SOD|TR,1,0,7506,0,0,0.0,0,0.0,301,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156163.7018378,0.20158648490905762,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_123602,delta-asda-b3-e,1616,VE|SOD|TR,1,0,7512,0,0,0.0,0,0.0,301,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156163.802177,0.3019256591796875,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_123602,delta-asda-b3-e,1616,VE|SOD|TR,1,0,7512,0,0,0.0,0,0.0,301,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156163.90291,0.40265870094299316,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_123602,delta-asda-b3-e,1616,VE|SOD|TR,1,0,7506,0,0,0.0,0,0.0,301,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156164.003725,0.5034737586975098,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_123602,delta-asda-b3-e,1616,VE|SOD|TR,1,0,7516,0,0,0.0,0,0.0,301,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156164.1038988,0.6036474704742432,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_123602,delta-asda-b3-e,1616,VE|SOD|TR,1,0,7510,0,0,0.0,0,0.0,301,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156164.2044027,0.7041513919830322,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_123602,delta-asda-b3-e,1616,VE|SOD|TR,1,0,7512,0,0,0.0,0,0.0,301,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156164.3050303,0.804779052734375,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_123602,delta-asda-b3-e,1616,VE|SOD|TR,1,0,7510,0,0,0.0,0,0.0,301,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781156164.4054058,0.9051544666290283,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_123602,delta-asda-b3-e,1616,VE|SOD|TR,1,0,7506,0,0,0.0,0,0.0,301,47,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
